base has no type, from Add of Single[] and Int32	spine-unity	Spine.RotateTimeline	Apply	<untyped>			20	0	0	0	Add	[v442 @ X8_v14+20]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.RotateTimeline	Apply	<untyped>			20	0	0	0	Add	[v442 @ X8_v14+20]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.RotateTimeline	Apply	<untyped>			20	0	0	0	Add	[v442 @ X8_v14+20]
Il2CppClass.0x18	spine-unity	Spine.ExposedList`1	InsertRange	Il2CppClass<T[]>		RuntimeClassTypeAnalysisContext	18	0	0	0	<none>	[v73 @ X0_v5 (Il2CppClass<T[]>)+18]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.IkConstraintTimeline	Apply	<untyped>			20	0	0	0	Add	[v130 @ X9_v9+20]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v46 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
base has no type, from Add of Single[] and Int32	spine-unity	Spine.IkConstraintTimeline	Apply	<untyped>			20	0	0	0	Add	[v130 @ X9_v9+20]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	[v212 @ X8_v12 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v46 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v46 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	InsertCollection	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v155 @ X10_v11-8]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v212 @ X8_v12 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	InsertCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	[v212 @ X8_v12 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	InsertCollection	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	[v254 @ X10_v6-8]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	InsertCollection	<untyped>			8	0	0	0	Call	[v271 @ X0_v9+8]
base has no type, from Add of Single[] and Immediate	spine-unity	Spine.IkConstraintTimeline	Apply	<untyped>			0	0	0	0	Add	[v583 @ X9_v11+v486 @ X10_v23 (System.Int32)]
