base has no type, from Add of the field Single[] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-FieldReference	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	INSTANCE_FIELD	NO_OWNER	-	Add[1]:LocalVariable,LocalVariable	[v206 @ X12_v19+v814 @ X8_v62 (System.Int32)*4]
past the last field of the base type	spine-unity	Spine.DeformTimeline	Apply	Spine.Attachment	System.Object	TypeAnalysisContext	28	10	1	0	Move:field Attachment	PAST_LAST_FIELD:class	LAYOUT_KNOWN	1	10	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	UNKNOWN:MERGED	SEARCH_EMPTY	-	Add[1]:LocalVariable,0x20	[v150 @ X24_v5 (Spine.Attachment)+28]
base has no type, from Add of ArrayAccess and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-ArrayAccess	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	ARRAY_ELEMENT	NO_OWNER	-	Subtract[1]:LocalVariable,MemoryOperand	[v207 @ X12_v10+v815 @ X8_v33 (System.Int32)*4]
base has no type, from Add of [Attachment + 0x28] and Immediate	spine-unity	Spine.DeformTimeline	Apply	<untyped>			0	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Subtract[2]:LocalVariable,MemoryOperand	[v227 @ X13_v8+v815 @ X8_v33 (System.Int32)*4]
value type base	spine-unity	SharpJson.JsonDecoder	ParseValue	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	MISSING_METADATA:inside-the-layout-between-fields	LAYOUT_KNOWN	1	10	NESTED:m_value	VALUE_RELATIVE	UNKNOWN:OPCODE:Add:Immediate+Immediate	NOT_A_FIELD_ACCESS	-	ShiftLeft[1]:LocalVariable,0x2	[v77 @ X9_v2 (System.Int32)+v45 @ X8_v3 (System.Int32)]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	Il2CppClass.interfaceOffsets	Add[1]:LocalVariable,0x8	[v45 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	Il2CppClass.interfaceOffsets	Add[1]:LocalVariable,0x8	[v230 @ X8_v13 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	Il2CppClass.interface_offsets_count	Move[1]:LocalVariable	[v45 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	AddCollection	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	Il2CppClass.interface_offsets_count	Move[1]:LocalVariable	[v45 @ X8_v4 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	AddCollection	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	UNKNOWN:MERGED	NO_OWNER	-	CheckEqual[1]:LocalVariable,RuntimeClassTypeAnalysisContext	[v152 @ X10_v12-8]
